id,Title,Description,Short Description,Price,Images,Variant1,Variant2,Variant3,Category,SubCategory,Tags
ReckewegValPks_021,Dr. Reckeweg R30   Universal ointment for muscular ailments,,,21,https://cdn.shopify.com/s/files/1/1312/2961/products/355-1-400_e8493170-ef24-40c4-9160-2053d2296a1a.jpg,,,,Homeopathy,Dr Reckeweg Tinctures,
ReckewegValPks_022,"Dr. Reckeweg R31   apetite, blood supply, strong liver (22 ml each)",,,13.5,https://cdn.shopify.com/s/files/1/1312/2961/products/356-1-400.jpg,Pack of 2 $25.99,Pack of 3 $33,Pack of 5 $48,Homeopathy,Dr Reckeweg Tinctures,
ReckewegValPks_023,Dr. Reckeweg R32   Hyperhidrosis of varying genesis (22 ml each),,,13.5,https://cdn.shopify.com/s/files/1/1312/2961/products/357-1-400.jpg,Pack of 2 $25.99,Pack of 3 $33,Pack of 5 $48,Homeopathy,Dr Reckeweg Tinctures,
ReckewegValPks_024,Dr. Reckeweg R33 drops   Constitutional treatment in epilepsy (22 ml each),,,13.5,https://cdn.shopify.com/s/files/1/1312/2961/products/358-1-400.jpg,Pack of 2 $25.99,Pack of 3 $33,Pack of 5 $48,Homeopathy,Dr Reckeweg Tinctures,
ReckewegValPks_025,Dr. Reckeweg R34   Recalcifying drops that acts on bone texture,,,13.5,https://cdn.shopify.com/s/files/1/1312/2961/products/359-1-400.jpg,Pack of 2 $25.99,Pack of 3 $33,Pack of 5 $48,Homeopathy,Dr Reckeweg Tinctures,
ReckewegValPks_026,Dr. Reckeweg R35 Teething Aches drops (22 ml each),,,13.5,https://cdn.shopify.com/s/files/1/1312/2961/products/360-1-400.jpg,Pack of 2 $25.99,Pack of 3 $33,Pack of 5 $48,Homeopathy,Dr Reckeweg Tinctures,
ReckewegValPks_027,"Dr. Reckeweg R36 for diseases of the Nerves, Chorea (22 ml each)",,,13.5,https://cdn.shopify.com/s/files/1/1312/2961/products/361-1-400.jpg,Pack of 2 $25.99,Pack of 3 $33,Pack of 5 $48,Homeopathy,Dr Reckeweg Tinctures,
ReckewegValPks_028,Dr. Reckeweg R37   Intestinal Colic drops (22 ml each),,,13.5,https://cdn.shopify.com/s/files/1/1312/2961/products/362-1-400.jpg,Pack of 2 $25.99,Pack of 3 $33,Pack of 5 $48,Homeopathy,Dr Reckeweg Tinctures,
ReckewegValPks_029,"Dr. Reckeweg R38 for affections of the abdomen, Right side",,,13.5,https://cdn.shopify.com/s/files/1/1312/2961/products/363-1-400.jpg,Pack of 2 $25.99,Pack of 3 $33,Pack of 5 $48,Homeopathy,Dr Reckeweg Tinctures,
ReckewegValPks_030,"Dr. Reckeweg R39 for affections of the abdomen, Left side (22 ml each)",,,13.5,https://cdn.shopify.com/s/files/1/1312/2961/products/364-1-400.jpg,Pack of 2 $25.99,Pack of 3 $33,Pack of 5 $48,Homeopathy,Dr Reckeweg Tinctures,
